Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_49,Turno_B,3,10,4,33,0,33,7,0,0,58984
Categoria_24,Turno_B,2,9,5,10,0,10,3,0,0,23986
Categoria_35,Turno_A,3,11,1,206,2,204,5,0,0,139312
Categoria_59,Turno_B,3,13,3,20,0,20,0,0,0,596146
Categoria_34,Turno_B,3,10,1,13,0,13,0,0,0,904498
Categoria_07,Turno_A,2,9,5,5,5,0,0,0,0,927710
Categoria_15,Turno_B,3,11,2,12,0,12,2,0,0,482525
Categoria_51,Turno_A,2,9,2,18,0,18,18,0,0,657972
Categoria_21,Turno_A,3,13,4,15,0,15,15,0,0,466551
Categoria_51,Turno_B,3,10,4,54,20,34,24,0,0,657972
Categoria_52,Turno_A,3,13,3,189,0,189,0,0,0,143767
Categoria_08,Turno_B,3,11,4,31,0,31,16,0,0,310804
Categoria_58,Turno_A,3,12,4,21,5,16,8,0,0,274712
Categoria_09,Turno_A,3,10,4,71,47,24,18,0,0,22666
Categoria_09,Turno_A,2,9,2,82,-1,83,68,0,0,22666
Categoria_28,Turno_B,3,12,4,15,0,15,1,0,0,633094
Categoria_41,Turno_C,2,9,1,5,0,5,5,0,0,465808
Categoria_41,Turno_A,2,9,2,45,0,45,45,0,0,465808
Categoria_41,Turno_A,3,12,2,45,0,45,16,0,0,465808
Categoria_40,Turno_B,3,11,1,23,6,17,4,0,0,149182
Categoria_44,Turno_A,3,13,1,36,0,36,6,0,0,698519
Categoria_08,Turno_B,3,11,1,27,0,27,24,0,0,310804
Categoria_56,Turno_B,3,11,5,11,0,11,11,0,0,283109
Categoria_60,Turno_A,2,9,1,76,72,4,4,0,0,40535
Categoria_23,Turno_B,3,11,3,24,0,24,8,0,0,298998
Categoria_23,Turno_A,3,12,4,32,0,32,4,0,0,298998
Categoria_34,Turno_A,3,12,2,67,0,67,1,0,0,904498
Categoria_24,Turno_B,3,11,2,10,0,10,4,0,0,23986
Categoria_35,Turno_B,3,10,2,173,18,155,4,0,0,139312
Categoria_35,Turno_A,3,12,3,258,0,258,0,0,0,139312
Categoria_12,Turno_B,3,12,5,59,0,59,0,0,0,848688
Categoria_Desconocida,Turno_A,3,12,3,56,0,56,0,0,0,298998
Categoria_36,Turno_A,2,9,1,31,0,31,17,0,0,499570
Categoria_52,Turno_A,3,11,5,151,0,151,5,0,0,143767
Categoria_36,Turno_A,3,10,5,50,14,36,1,0,0,499570
Categoria_51,Turno_A,3,12,2,18,0,18,1,0,0,657972
Categoria_25,Turno_B,2,9,2,58,10,48,48,0,0,988732
Categoria_34,Turno_A,3,11,6,24,0,24,0,0,0,904498
Categoria_34,Turno_A,3,13,3,42,0,42,0,0,0,904498
Categoria_31,Turno_B,3,14,2,5,0,5,0,0,0,132409
Categoria_37,Turno_A,3,11,1,12,0,12,12,0,0,294806
Categoria_26,Turno_A,3,11,6,132,20,112,35,0,0,490754
